"id","created_at","updated_at","mentee_id","created_by_user_id","company_id","amount","student_payment_percent","status","note","rejected_reason","employment_date","canceled_at","canceled_by_user_id","cancellation_reason"
69,2026-05-19 11:54:58.306 +0300,2026-05-19 11:55:00.687 +0300,49,55,669,400000,100,approved,,,2026-04-15,,,
71,2026-05-29 19:40:29.226 +0300,2026-05-29 20:59:40.315 +0300,363,24,250,251060,200,approved,,,2026-06-08,,,
70,2026-05-29 12:27:43.870 +0300,2026-05-29 14:13:43.498 +0300,366,18,611,278400,200,approved,,,2026-05-29,,,
72,2026-06-08 18:09:57.040 +0300,2026-06-08 18:10:08.095 +0300,100,5,680,200000,200,approved,,,2026-06-08,,,
73,2026-06-17 13:28:08.357 +0300,2026-06-19 23:05:11.835 +0300,370,23,697,188000,200,approved,,,2026-06-24,,,
77,2026-07-02 07:51:03.336 +0300,2026-07-02 07:59:47.246 +0300,294,5,721,252000,200,approved,,,2026-06-29,,,
76,2026-06-24 13:48:53.504 +0300,2026-07-03 17:47:43.130 +0300,141,24,718,217500,200,approved,,,2026-06-29,,,
74,2026-06-22 16:31:04.294 +0300,2026-07-03 17:47:46.278 +0300,288,13,706,278400,200,approved,,,2026-06-17,,,
79,2026-07-09 14:27:27.873 +0300,2026-07-10 11:13:30.208 +0300,2780,23,250,305000,200,approved,,,2026-07-24,,,
80,2026-07-11 11:56:53.954 +0300,2026-07-13 14:43:19.872 +0300,104,5,734,250000,200,approved,,,2026-07-14,,,
78,2026-07-08 15:32:52.807 +0300,2026-07-14 15:19:41.440 +0300,120,24,728,270000,200,canceled,,,2026-07-15,2026-07-14 15:19:41.443 +0300,24,докопались до возраста
81,2026-07-16 19:02:52.414 +0300,2026-07-16 19:11:54.034 +0300,156,24,199,240000,200,approved,,,2026-07-21,,,
82,2026-08-03 16:36:54.206 +0300,2026-08-03 16:40:52.807 +0300,102,5,748,150000,200,approved,,,2026-07-27,,,
